Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,Response,DVD,BoxOffice,Production,Website
From,2022–,TV-MA,20 Feb 2022,N/A,"Drama, Horror, Mystery",N/A,John Griffin,"Harold Perrineau, Catalina Sandino Moreno, Eion Bailey","Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normality and seek a way out, they must also survive the threats of the surrounding forest.",English,United States,1 win & 20 nominations,https://m.media-amazon.com/images/M/MV5BYzM5ZWMxOGEtZjEyMC00YjQ0LThiYjEtZjVkZGEzN2NlOGEwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"93,872",tt9813792,series,3,True,,,,
Shrimad Ramayan,2024–,N/A,01 Jan 2024,N/A,"Adventure, Drama, Family",N/A,N/A,"Sujay Reu, Prachi Bansal, Basant Bhatt","An epic tale that explores the eternal battle between the good and evil, highlighting the quest for righteousness and spiritual awakening.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BOTRjOTdjNWMtNDBkMy00MzNkLWI1ZDYtNDkwYTU1MDYwYWY4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,"1,653",tt30145246,series,1,True,,,,
Tulsa King,2022–,TV-MA,13 Nov 2022,N/A,"Crime, Drama",N/A,Taylor Sheridan,"Sylvester Stallone, Andrea Savage, Martin Starr","Following his release from prison, Mafia capo Dwight ""The General"" Manfredi is exiled to Tulsa, Oklahoma, where he builds a new criminal empire with a group of unlikely characters.",English,United States,Nominated for 1 Primetime Emmy. 5 nominations total,https://m.media-amazon.com/images/M/MV5BMjBiNmI3YjMtNjJmNi00MTdiLTg5YTItMTk1MjcwOWIyZjY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"82,649",tt16358384,series,2,True,,,,
The Daily Show,1996–,TV-14,22 Jul 1996,22 min,"Comedy, News, Talk-Show",N/A,"Madeleine Smithberg, Lizz Winstead","Jon Stewart, Trevor Noah, Stephen Colbert",A comedy news show featuring humorous takes on top stories.,English,United States,Won 28 Primetime Emmys. 89 wins & 238 nominations total,https://m.media-amazon.com/images/M/MV5BMWY0YjU0ZGEtZTZmZS00YzU5LTg2ODAtM2VkY2U3MDUzZGI4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,"48,475",tt0115147,series,29,True,,,,
Agatha All Along,2024,TV-14,18 Sep 2024,N/A,"Action, Adventure, Comedy",N/A,Jac Schaeffer,"Kathryn Hahn, Joe Locke, Sasheer Zamata","A spell-bound Agatha Harkness regains freedom thanks to a teen's help. Intrigued by his plea, she embarks on the Witches' Road trials to reclaim her powers and discover the teen's motivations.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDcyZTNjOTEtNzc5Yy00Y2UzLThkMWYtNTY4YmM4OWI5OTMzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"35,733",tt15571732,series,1,True,,,,
Late Night with Seth Meyers,2014–,TV-14,24 Feb 2014,60 min,"Comedy, Talk-Show",N/A,N/A,"Seth Meyers, The 8G Band, Fred Armisen",Seth Meyers hosts a late-night talk show.,English,United States,Nominated for 11 Primetime Emmys. 2 wins & 51 nominations total,https://m.media-amazon.com/images/M/MV5BNzVjZDUyNDQtZGIxZS00NjVjLWFiN2EtZDQ3YjFmYThlNWFkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"8,056",tt3513388,series,12,True,,,,
The Penguin,2024,TV-MA,19 Sep 2024,N/A,"Crime, Drama, Fantasy",N/A,Lauren LeFranc,"Colin Farrell, Cristin Milioti, Rhenzy Feliz","Following the events of The Batman (2022), Oz Cobb, a.k.a. the Penguin, makes a play to seize the reins of the crime world in Gotham.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYmU3MzYzOWEtOTdkZi00YzA1LTliMzQtNDdiZDBjY2FiNmFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}]",N/A,8.8,"33,845",tt15435876,series,1,True,,,,
Grey's Anatomy,2005–,TV-14,27 Mar 2005,41 min,"Drama, Romance",N/A,"Shonda Rhimes, Michelle Lirtzman","Ellen Pompeo, Chandra Wilson, James Pickens Jr.",A drama centered on the personal and professional lives of five surgical interns and their supervisors.,English,United States,Won 4 Primetime Emmys. 88 wins & 256 nominations total,https://m.media-amazon.com/images/M/MV5BYTVjNWVhYTctMGJkMS00NWFjLWE2N2QtNmQ1Y2FhZDFkNzUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"349,980",tt0413573,series,21,True,,,,
NCIS,2003–,TV-14,23 Sep 2003,17S min,"Action, Crime, Drama",N/A,"Donald P. Bellisario, Don McGill","David McCallum, Sean Murray, Mark Harmon","Follows the Major Case Response Team (MCRT) from the Naval Criminal Investigative Service (NCIS), as they get to the bottom of criminal cases connected to Navy and Marine Corps personnel.",English,United States,Nominated for 3 Primetime Emmys. 27 wins & 45 nominations total,https://m.media-amazon.com/images/M/MV5BZGExNmI3NDMtMjYxYS00Y2ZmLTlkNmItMGNkNTQ1MzA1ZGM1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"167,004",tt0364845,series,22,True,,,,
Law Abiding Citizen,2009,R,16 Oct 2009,109 min,"Action, Crime, Drama",F. Gary Gray,Kurt Wimmer,"Gerard Butler, Jamie Foxx, Leslie Bibb",A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free.,English,United States,3 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BNDFjNzM2NzMtNTkxZi00ZGFmLTkyZGMtZWQ3ZjMwZDc5NDExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,7.4,"326,151",tt1197624,movie,,True,N/A,"$73,357,727",N/A,N/A
